사번,프로젝트명,역할,시작일,종료일,기여
GA17147,솔뫼제약 캠페인 키비주얼,디자인,2018-05-16,2018-06-20,제안 PT 수주 기여
GA17147,솔뫼제약 브랜드 필름,PD,2021-09-22,2021-10-17,협력사 조율 주도
GA17158,라온뷰티 캠페인 키비주얼,촬영,2020-04-21,2020-08-21,클라이언트 재계약 견인
GA18003,전사 워크숍 기획,기획,2021-02-18,2021-04-12,일정 내 무사고 완수
GA18003,전사 워크숍 기획,기획,2022-02-26,2022-05-20,예산 10% 절감 운영
GA18003,복지제도 개편,총괄,2023-01-16,2023-04-28,산출물 품질 개선
GA18034,다온게임즈 브랜드 행사,운영,2018-02-03,2018-04-21,일정 내 무사고 완수
GA18034,청솔식품 브랜드 행사,PM,2021-04-04,2021-05-07,제안 PT 수주 기여
GA18034,다온게임즈 팝업스토어,PM,2023-04-07,2023-06-16,일정 내 무사고 완수
GA18034,온새미로리빙 전시 부스 운영,운영,2025-07-14,2025-10-19,일정 내 무사고 완수
GA18042,솔뫼제약 팝업스토어,기획,2019-01-07,2019-03-16,일정 내 무사고 완수
GA18042,라온뷰티 전시 부스 운영,PM,2019-07-18,2019-11-21,제안 PT 수주 기여
GA18042,다온게임즈 신제품 프로모션,기획,2022-01-19,2022-03-04,예산 10% 절감 운영
GA18082,미리내패션 팝업스토어,AE,2019-03-15,2019-04-26,현장 운영 총괄
GA18084,늘품커피 팝업스토어,AE,2021-03-14,2021-05-28,클라이언트 재계약 견인
GA18093,한빛전자 행사 영상 중계,PD,2020-03-20,2020-06-16,일정 내 무사고 완수
GA18093,온새미로리빙 광고 영상 제작,PD,2025-09-22,2025-11-16,신규 프로세스 정착
GA18093,한빛전자 광고 영상 제작,PD,2026-02-07,2026-03-06,신규 프로세스 정착
GA18120,미리내패션 캠페인 키비주얼,편집,2019-06-27,2019-10-22,현장 운영 총괄
GA18120,바로모빌리티 브랜드 필름,PD,2023-09-04,2023-10-16,예산 10% 절감 운영
GA18120,다온게임즈 캠페인 키비주얼,편집,2026-07-17,2026-11-08,산출물 품질 개선
GA18131,미리내패션 SNS 콘텐츠 시리즈,편집,2019-09-10,2019-10-22,일정 내 무사고 완수
GA18131,바로모빌리티 행사 영상 중계,PD,2020-09-08,2021-01-08,산출물 품질 개선
GA18132,바로모빌리티 캠페인 키비주얼,디자인,2020-03-16,2020-06-18,현장 운영 총괄
GA18132,한빛전자 행사 영상 중계,편집,2024-02-14,2024-03-27,예산 10% 절감 운영
GA18142,미리내패션 캠페인 키비주얼,PD,2019-07-21,2019-08-06,현장 운영 총괄
GA18142,늘품커피 캠페인 키비주얼,편집,2020-03-12,2020-05-16,신규 프로세스 정착
GA18142,한빛전자 캠페인 키비주얼,디자인,2022-08-22,2022-09-21,신규 프로세스 정착
GA18146,연간 채용 프로세스 운영,운영,2021-07-18,2021-08-17,클라이언트 재계약 견인
GA18146,사옥 이전 프로젝트,총괄,2023-04-04,2023-05-26,신규 프로세스 정착
GA18146,사옥 이전 프로젝트,기획,2024-01-17,2024-04-26,예산 10% 절감 운영
GA19002,연간 채용 프로세스 운영,운영,2021-07-27,2021-10-12,일정 내 무사고 완수
GA19002,결산 자동화 개선,운영,2024-09-04,2024-10-03,협력사 조율 주도
GA19002,전사 워크숍 기획,총괄,2025-03-18,2025-04-05,신규 프로세스 정착
GA19008,결산 자동화 개선,총괄,2026-04-08,2026-08-12,일정 내 무사고 완수
GA19008,복지제도 개편,기획,2026-04-18,2026-08-15,클라이언트 재계약 견인
GA19027,제작 아카이브 시스템,개발,2026-05-20,2026-06-22,제안 PT 수주 기여
GA19040,다온게임즈 론칭 캠페인,AE,2019-01-09,2019-04-18,예산 10% 절감 운영
GA19040,두루금융 전시 부스 운영,기획,2025-01-13,2025-04-09,현장 운영 총괄
GA19044,온새미로리빙 브랜드 행사,운영,2020-02-21,2020-06-14,제안 PT 수주 기여
GA19044,온새미로리빙 브랜드 행사,AE,2022-04-09,2022-06-17,현장 운영 총괄
GA19044,바로모빌리티 팝업스토어,기획,2022-09-23,2022-11-13,현장 운영 총괄
GA19050,한빛전자 론칭 캠페인,PM,2019-03-27,2019-07-11,산출물 품질 개선
GA19050,라온뷰티 브랜드 행사,운영,2024-06-08,2024-08-14,일정 내 무사고 완수
GA19054,라온뷰티 팝업스토어,기획,2019-07-06,2019-09-12,일정 내 무사고 완수
GA19054,다온게임즈 전시 부스 운영,기획,2022-09-03,2022-10-12,협력사 조율 주도
GA19054,바로모빌리티 론칭 캠페인,운영,2023-07-21,2023-10-10,예산 10% 절감 운영
GA19054,미리내패션 팝업스토어,PM,2025-07-06,2025-08-16,현장 운영 총괄
GA19063,한빛전자 전시 부스 운영,운영,2019-03-15,2019-07-15,일정 내 무사고 완수
GA19063,온새미로리빙 브랜드 행사,기획,2021-09-08,2021-11-22,제안 PT 수주 기여
GA19063,늘품커피 브랜드 행사,AE,2022-08-14,2022-11-10,일정 내 무사고 완수
GA19063,솔뫼제약 브랜드 행사,PM,2024-05-14,2024-09-02,현장 운영 총괄
GA19066,청솔식품 론칭 캠페인,AE,2019-05-08,2019-07-27,일정 내 무사고 완수
GA19066,늘품커피 론칭 캠페인,AE,2020-05-08,2020-07-22,제안 PT 수주 기여
GA19066,한빛전자 브랜드 행사,PM,2024-07-27,2024-11-22,협력사 조율 주도
GA19067,늘품커피 브랜드 행사,AE,2026-07-01,2026-11-10,현장 운영 총괄
GA19085,두루금융 전시 부스 운영,PM,2022-01-26,2022-03-02,일정 내 무사고 완수
GA19085,라온뷰티 론칭 캠페인,PM,2023-08-23,2023-10-18,일정 내 무사고 완수
GA19085,솔뫼제약 론칭 캠페인,AE,2024-01-05,2024-02-08,협력사 조율 주도
GA19085,미리내패션 론칭 캠페인,기획,2025-04-27,2025-08-05,일정 내 무사고 완수
GA19101,두루금융 SNS 콘텐츠 시리즈,PD,2020-02-09,2020-04-02,신규 프로세스 정착
GA19101,청솔식품 SNS 콘텐츠 시리즈,디자인,2022-02-18,2022-03-06,산출물 품질 개선
GA19140,전사 워크숍 기획,기획,2021-06-23,2021-09-04,클라이언트 재계약 견인
GA19140,복지제도 개편,운영,2022-05-09,2022-08-20,제안 PT 수주 기여
GA19144,청솔식품 캠페인 키비주얼,PD,2019-09-10,2019-12-13,클라이언트 재계약 견인
GA19144,청솔식품 브랜드 필름,촬영,2023-02-28,2023-04-20,산출물 품질 개선
GA19144,한빛전자 행사 영상 중계,촬영,2024-05-09,2024-07-08,예산 10% 절감 운영
GA19145,라온뷰티 광고 영상 제작,PD,2019-03-10,2019-07-01,제안 PT 수주 기여
GA19145,라온뷰티 캠페인 키비주얼,PD,2019-06-06,2019-07-09,신규 프로세스 정착
GA19149,연간 채용 프로세스 운영,총괄,2020-07-24,2020-11-09,제안 PT 수주 기여
GA19152,미리내패션 광고 영상 제작,촬영,2020-03-16,2020-06-01,신규 프로세스 정착
GA19152,라온뷰티 SNS 콘텐츠 시리즈,편집,2020-05-12,2020-08-27,클라이언트 재계약 견인
GA19152,늘품커피 캠페인 키비주얼,편집,2022-04-05,2022-06-11,산출물 품질 개선
GA20005,연간 채용 프로세스 운영,기획,2020-04-10,2020-07-23,협력사 조율 주도
GA20005,사옥 이전 프로젝트,운영,2020-09-22,2020-11-24,산출물 품질 개선
GA20014,전사 워크숍 기획,총괄,2022-04-16,2022-07-17,예산 10% 절감 운영
GA20014,복지제도 개편,기획,2025-09-05,2025-11-11,협력사 조율 주도
GA20014,사옥 이전 프로젝트,기획,2026-05-03,2026-09-13,예산 10% 절감 운영
GA20014,결산 자동화 개선,총괄,2026-05-15,2026-06-03,산출물 품질 개선
GA20020,AI 콘텐츠 파이프라인,데이터,2021-07-13,2021-11-26,신규 프로세스 정착
GA20020,고객 리포트 자동화,개발,2022-07-07,2022-09-16,클라이언트 재계약 견인
GA20020,고객 리포트 자동화,개발,2023-08-04,2023-10-09,협력사 조율 주도
GA20043,다온게임즈 팝업스토어,AE,2022-06-20,2022-08-13,클라이언트 재계약 견인
GA20043,두루금융 신제품 프로모션,PM,2025-09-01,2026-01-04,일정 내 무사고 완수
GA20056,늘품커피 팝업스토어,기획,2020-03-09,2020-05-05,예산 10% 절감 운영
GA20056,솔뫼제약 브랜드 행사,PM,2025-02-17,2025-06-12,제안 PT 수주 기여
GA20056,늘품커피 브랜드 행사,운영,2026-08-21,2026-09-20,현장 운영 총괄
GA20060,청솔식품 팝업스토어,기획,2022-04-21,2022-07-19,협력사 조율 주도
GA20060,바로모빌리티 신제품 프로모션,PM,2023-04-01,2023-07-14,예산 10% 절감 운영
GA20074,라온뷰티 전시 부스 운영,AE,2025-04-13,2025-05-14,예산 10% 절감 운영
GA20074,한빛전자 전시 부스 운영,운영,2026-03-20,2026-05-01,제안 PT 수주 기여
GA20089,다온게임즈 브랜드 필름,촬영,2020-06-02,2020-10-02,예산 10% 절감 운영
GA20089,바로모빌리티 행사 영상 중계,디자인,2021-08-02,2021-09-22,산출물 품질 개선
GA20089,늘품커피 행사 영상 중계,PD,2022-07-16,2022-11-17,클라이언트 재계약 견인
GA20092,바로모빌리티 캠페인 키비주얼,PD,2025-04-12,2025-05-09,일정 내 무사고 완수
GA21007,결산 자동화 개선,총괄,2022-09-09,2022-11-24,협력사 조율 주도
GA21007,사옥 이전 프로젝트,총괄,2023-06-02,2023-08-23,현장 운영 총괄
GA21007,복지제도 개편,총괄,2023-07-16,2023-08-18,신규 프로세스 정착
GA21011,연간 채용 프로세스 운영,운영,2021-01-15,2021-03-26,클라이언트 재계약 견인
GA21011,사옥 이전 프로젝트,기획,2025-01-01,2025-02-10,신규 프로세스 정착
GA21029,제작 아카이브 시스템,개발,2025-01-07,2025-02-09,일정 내 무사고 완수
GA21029,고객 리포트 자동화,기획,2025-08-07,2025-12-27,산출물 품질 개선
GA21029,제작 아카이브 시스템,데이터,2026-06-16,2026-09-04,신규 프로세스 정착
GA21030,AI 콘텐츠 파이프라인,데이터,2021-09-25,2021-12-06,제안 PT 수주 기여
GA21030,AI 콘텐츠 파이프라인,데이터,2025-06-20,2025-08-15,협력사 조율 주도
GA21030,고객 리포트 자동화,데이터,2026-06-27,2026-10-02,일정 내 무사고 완수
GA21048,라온뷰티 팝업스토어,AE,2025-07-11,2025-08-12,현장 운영 총괄
GA21058,늘품커피 론칭 캠페인,운영,2022-04-21,2022-05-14,현장 운영 총괄
GA21058,미리내패션 브랜드 행사,기획,2024-08-05,2024-12-02,현장 운영 총괄
GA21058,두루금융 신제품 프로모션,운영,2025-04-25,2025-07-07,신규 프로세스 정착
GA21062,청솔식품 론칭 캠페인,기획,2021-02-06,2021-03-14,협력사 조율 주도
GA21062,다온게임즈 브랜드 행사,기획,2021-07-09,2021-11-09,협력사 조율 주도
GA21076,두루금융 팝업스토어,AE,2023-08-27,2023-11-11,일정 내 무사고 완수
GA21076,청솔식품 브랜드 행사,기획,2026-01-26,2026-04-02,예산 10% 절감 운영
GA21076,라온뷰티 전시 부스 운영,기획,2026-02-13,2026-05-15,현장 운영 총괄
GA21078,미리내패션 팝업스토어,PM,2022-01-11,2022-03-01,제안 PT 수주 기여
GA21078,바로모빌리티 브랜드 행사,PM,2022-05-02,2022-07-09,예산 10% 절감 운영
GA21078,솔뫼제약 론칭 캠페인,PM,2024-05-25,2024-06-05,산출물 품질 개선
GA21086,한빛전자 행사 영상 중계,편집,2022-04-18,2022-08-26,신규 프로세스 정착
GA21130,다온게임즈 브랜드 필름,디자인,2023-05-24,2023-07-07,산출물 품질 개선
GA21130,라온뷰티 행사 영상 중계,촬영,2026-04-19,2026-08-23,클라이언트 재계약 견인
GA21155,한빛전자 론칭 캠페인,기획,2024-01-17,2024-05-01,현장 운영 총괄
GA21155,온새미로리빙 브랜드 행사,PM,2024-02-16,2024-03-04,제안 PT 수주 기여
GA21157,한빛전자 광고 영상 제작,디자인,2022-09-15,2023-01-23,예산 10% 절감 운영
GA22001,결산 자동화 개선,기획,2022-04-13,2022-08-26,제안 PT 수주 기여
GA22001,복지제도 개편,기획,2024-06-10,2024-08-09,클라이언트 재계약 견인
GA22012,복지제도 개편,운영,2022-09-02,2022-11-09,제안 PT 수주 기여
GA22012,사옥 이전 프로젝트,총괄,2024-09-19,2025-01-17,제안 PT 수주 기여
GA22016,결산 자동화 개선,총괄,2022-05-11,2022-09-05,현장 운영 총괄
GA22016,전사 워크숍 기획,총괄,2022-07-03,2022-11-03,현장 운영 총괄
GA22022,고객 리포트 자동화,데이터,2024-05-18,2024-08-09,일정 내 무사고 완수
GA22026,고객 리포트 자동화,개발,2022-06-18,2022-09-28,협력사 조율 주도
GA22026,사내 업무 자동화 도구,기획,2024-09-01,2025-01-01,협력사 조율 주도
GA22032,솔뫼제약 신제품 프로모션,기획,2024-03-16,2024-05-23,협력사 조율 주도
GA22032,라온뷰티 팝업스토어,PM,2025-02-09,2025-04-20,협력사 조율 주도
GA22038,라온뷰티 전시 부스 운영,기획,2023-08-09,2023-11-15,예산 10% 절감 운영
GA22038,바로모빌리티 신제품 프로모션,운영,2024-05-09,2024-06-13,일정 내 무사고 완수
GA22055,바로모빌리티 팝업스토어,PM,2024-09-18,2025-01-04,협력사 조율 주도
GA22070,라온뷰티 론칭 캠페인,기획,2022-08-17,2022-12-11,협력사 조율 주도
GA22070,다온게임즈 브랜드 행사,운영,2023-03-15,2023-05-21,예산 10% 절감 운영
GA22070,한빛전자 전시 부스 운영,운영,2025-03-24,2025-04-08,클라이언트 재계약 견인
GA22073,라온뷰티 전시 부스 운영,운영,2023-05-12,2023-07-09,산출물 품질 개선
GA22075,다온게임즈 팝업스토어,AE,2024-07-10,2024-11-01,현장 운영 총괄
GA22075,늘품커피 브랜드 행사,PM,2025-03-16,2025-07-02,예산 10% 절감 운영
GA22075,청솔식품 전시 부스 운영,AE,2026-02-28,2026-05-25,협력사 조율 주도
GA22077,온새미로리빙 팝업스토어,기획,2023-06-26,2023-08-03,제안 PT 수주 기여
GA22077,두루금융 브랜드 행사,기획,2023-09-12,2023-10-24,협력사 조율 주도
GA22077,두루금융 신제품 프로모션,PM,2025-06-27,2025-09-20,일정 내 무사고 완수
GA22079,늘품커피 브랜드 행사,기획,2026-01-23,2026-02-16,산출물 품질 개선
GA22079,두루금융 신제품 프로모션,PM,2026-02-21,2026-06-28,클라이언트 재계약 견인
GA22079,온새미로리빙 론칭 캠페인,기획,2026-07-13,2026-08-08,신규 프로세스 정착
GA22091,늘품커피 SNS 콘텐츠 시리즈,편집,2022-05-22,2022-08-23,신규 프로세스 정착
GA22091,바로모빌리티 캠페인 키비주얼,디자인,2024-04-04,2024-06-12,현장 운영 총괄
GA22091,라온뷰티 SNS 콘텐츠 시리즈,PD,2024-08-24,2024-11-08,현장 운영 총괄
GA22091,온새미로리빙 브랜드 필름,촬영,2025-03-06,2025-06-02,신규 프로세스 정착
GA22102,미리내패션 캠페인 키비주얼,디자인,2023-03-04,2023-06-09,클라이언트 재계약 견인
GA22102,다온게임즈 행사 영상 중계,디자인,2024-09-10,2025-01-11,제안 PT 수주 기여
GA22102,바로모빌리티 캠페인 키비주얼,디자인,2025-05-23,2025-06-20,협력사 조율 주도
GA22113,다온게임즈 브랜드 필름,편집,2023-06-04,2023-08-25,현장 운영 총괄
GA22113,라온뷰티 캠페인 키비주얼,디자인,2024-07-28,2024-08-25,신규 프로세스 정착
GA22113,다온게임즈 SNS 콘텐츠 시리즈,편집,2026-06-11,2026-08-15,신규 프로세스 정착
GA22124,바로모빌리티 캠페인 키비주얼,PD,2026-06-27,2026-07-02,예산 10% 절감 운영
GA22126,바로모빌리티 캠페인 키비주얼,촬영,2025-01-08,2025-03-27,클라이언트 재계약 견인
GA22126,바로모빌리티 행사 영상 중계,편집,2026-03-05,2026-07-07,예산 10% 절감 운영
GA22127,한빛전자 캠페인 키비주얼,촬영,2022-05-11,2022-08-09,협력사 조율 주도
GA22127,온새미로리빙 캠페인 키비주얼,디자인,2024-05-24,2024-08-18,협력사 조율 주도
GA22129,다온게임즈 광고 영상 제작,PD,2022-03-09,2022-04-28,현장 운영 총괄
GA22129,두루금융 행사 영상 중계,촬영,2026-05-20,2026-07-07,산출물 품질 개선
GA22133,연간 채용 프로세스 운영,기획,2022-07-15,2022-11-17,신규 프로세스 정착
GA22133,전사 워크숍 기획,기획,2023-02-26,2023-04-03,제안 PT 수주 기여
GA22148,결산 자동화 개선,기획,2023-03-12,2023-04-24,협력사 조율 주도
GA22148,사옥 이전 프로젝트,운영,2023-09-01,2024-01-26,협력사 조율 주도
GA23006,전사 워크숍 기획,총괄,2025-03-22,2025-04-27,현장 운영 총괄
GA23018,복지제도 개편,기획,2024-06-01,2024-07-02,제안 PT 수주 기여
GA23018,결산 자동화 개선,운영,2026-07-14,2026-10-25,예산 10% 절감 운영
GA23025,제작 아카이브 시스템,기획,2023-02-05,2023-06-26,현장 운영 총괄
GA23036,솔뫼제약 팝업스토어,PM,2025-01-23,2025-04-01,현장 운영 총괄
GA23036,다온게임즈 전시 부스 운영,운영,2025-07-07,2025-09-10,협력사 조율 주도
GA23052,두루금융 브랜드 행사,기획,2023-03-19,2023-04-27,일정 내 무사고 완수
GA23053,청솔식품 브랜드 행사,PM,2023-07-06,2023-10-07,예산 10% 절감 운영
GA23053,미리내패션 전시 부스 운영,AE,2024-06-07,2024-09-18,신규 프로세스 정착
GA23053,미리내패션 신제품 프로모션,운영,2024-08-05,2024-10-13,클라이언트 재계약 견인
GA23053,청솔식품 신제품 프로모션,PM,2026-03-06,2026-05-24,제안 PT 수주 기여
GA23061,미리내패션 팝업스토어,기획,2023-03-15,2023-04-10,협력사 조율 주도
GA23061,바로모빌리티 론칭 캠페인,PM,2024-09-14,2025-01-11,클라이언트 재계약 견인
GA23090,라온뷰티 캠페인 키비주얼,편집,2025-03-23,2025-04-05,협력사 조율 주도
GA23110,청솔식품 광고 영상 제작,편집,2023-09-07,2023-11-21,클라이언트 재계약 견인
GA23115,미리내패션 캠페인 키비주얼,편집,2026-04-26,2026-05-24,협력사 조율 주도
GA23116,온새미로리빙 브랜드 필름,디자인,2025-07-09,2025-11-14,현장 운영 총괄
GA23116,청솔식품 브랜드 필름,PD,2025-08-24,2025-11-27,클라이언트 재계약 견인
GA23116,한빛전자 캠페인 키비주얼,디자인,2026-03-01,2026-06-15,클라이언트 재계약 견인
GA23139,사옥 이전 프로젝트,기획,2023-04-23,2023-05-20,예산 10% 절감 운영
GA23139,복지제도 개편,기획,2025-01-20,2025-04-26,일정 내 무사고 완수
GA23139,복지제도 개편,기획,2025-07-03,2025-11-14,클라이언트 재계약 견인
GA23141,한빛전자 캠페인 키비주얼,촬영,2023-02-03,2023-06-23,예산 10% 절감 운영
GA23141,미리내패션 행사 영상 중계,편집,2024-01-24,2024-02-20,신규 프로세스 정착
GA23141,온새미로리빙 캠페인 키비주얼,촬영,2024-07-20,2024-09-18,현장 운영 총괄
GA23154,미리내패션 행사 영상 중계,편집,2023-01-09,2023-04-13,현장 운영 총괄
GA23154,청솔식품 행사 영상 중계,편집,2023-05-02,2023-09-07,예산 10% 절감 운영
GA24017,사옥 이전 프로젝트,운영,2024-04-07,2024-07-09,클라이언트 재계약 견인
